Sexo;Grupos de edad;Hábitat de procedencia;Valor absoluto y porcentaje;periodo;Total
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2012;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2011;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2010;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2009;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2008;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2007;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2006;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2020;187,3
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2019;251,9
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2018;260,7
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2017;239,8
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2016;276,6
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2015;245,4
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2014;283,7
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2013;229,8
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2012;309,8
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2011;283,5
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2010;300,5
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2009;320,5
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2008;311,2
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2007;422,5
Ambos sexos;Total (edad);Urbano (procedencia);Valor absoluto;2006;433,7
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2020;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2019;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2018;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2017;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2016;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2015;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2014;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2013;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2012;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2011;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2010;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2009;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2008;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2007;100,0
Ambos sexos;Total (edad);Urbano (procedencia);Porcentaje;2006;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2020;135,9
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2019;134,1
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2018;147,8
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2017;129,2
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2016;118,4
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2015;102,6
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2014;61,9
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2013;72,1
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2012;77,1
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2011;98,7
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2010;88,0
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2009;144,7
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2008;211,9
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2007;215,9
Ambos sexos;Total (edad);Extranjero (procedencia);Valor absoluto;2006;251,6
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2020;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2019;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2018;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2017;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2016;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2015;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2014;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2013;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2012;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2011;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2010;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2009;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2008;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2007;100,0
Ambos sexos;Total (edad);Extranjero (procedencia);Porcentaje;2006;100,0
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2020;17,0
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2019;34,9
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2018;52,2
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2017;65,5
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2016;81,0
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2015;61,5
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2014;56,7
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2013;46,7
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2012;69,6
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2011;67,5
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2010;72,7
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2009;58,9
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2008;86,5
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2007;101,6
Ambos sexos;De 0 a 15;Total (procedencia);Valor absoluto;2006;106,3
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2020;4,6
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2019;7,9
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2018;10,7
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2017;15,9
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2016;17,7
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2015;14,2
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2014;14,0
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2013;13,0
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2012;15,4
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2011;14,4
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2010;15,4
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2009;11,0
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2008;14,3
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2007;13,0
Ambos sexos;De 0 a 15;Total (procedencia);Porcentaje;2006;13,2
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2020;2,6
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2019;6,6
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2018;9,5
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2017;8,2
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2016;7,1
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2015;16,6
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2014;12,3
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2013;9,4
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2012;7,9
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2011;16,2
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2010;13,8
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2009;7,0
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2008;8,3
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2007;17,9
Ambos sexos;De 0 a 15;Rural (procedencia);Valor absoluto;2006;19,5
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2020;6,2
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2019;12,3
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2018;12,1
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2017;18,6
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2016;11,1
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2015;19,7
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2014;20,6
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2013;16,7
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2012;12,0
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2011;18,6
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2010;16,2
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2009;9,8
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2008;10,1
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2007;12,8
Ambos sexos;De 0 a 15;Rural (procedencia);Porcentaje;2006;16,5
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2020;6,0
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2019;13,0
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2018;29,5
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2017;34,7
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2016;55,6
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2015;28,9
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2014;31,9
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2013;26,5
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2012;47,1
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2011;34,5
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2010;38,4
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2009;28,0
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2008;31,8
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2007;43,6
Ambos sexos;De 0 a 15;Urbano (procedencia);Valor absoluto;2006;49,3
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2020;3,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2019;5,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2018;11,3
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2017;14,5
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2016;20,1
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2015;11,8
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2014;11,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2013;11,6
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2012;15,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2011;12,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2010;12,8
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2009;8,7
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2008;10,2
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2007;10,3
Ambos sexos;De 0 a 15;Urbano (procedencia);Porcentaje;2006;11,4
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2020;8,3
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2019;15,3
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2018;13,2
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2017;22,6
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2016;18,4
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2015;16,0
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2014;12,6
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2013;10,8
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2012;14,7
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2011;16,8
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2010;20,5
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2009;23,9
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2008;46,4
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2007;40,1
Ambos sexos;De 0 a 15;Extranjero (procedencia);Valor absoluto;2006;37,5
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2020;6,1
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2019;11,4
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2018;8,9
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2017;17,5
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2016;15,5
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2015;15,6
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2014;20,4
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2013;15,0
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2012;19,0
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2011;17,0
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2010;23,3
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2009;16,5
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2008;21,9
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2007;18,6
Ambos sexos;De 0 a 15;Extranjero (procedencia);Porcentaje;2006;14,9
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2020;14,0
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2019;29,4
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2018;30,0
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2017;18,1
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2016;23,4
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2015;24,7
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2014;20,8
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2013;16,1
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2012;10,4
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2011;35,4
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2010;41,7
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2009;23,5
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2008;42,6
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2007;40,5
Ambos sexos;De 16 a 19;Total (procedencia);Valor absoluto;2006;33,1
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2020;3,8
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2019;6,7
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2018;6,2
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2017;4,4
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2016;5,1
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2015;5,7
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2014;5,1
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2013;4,5
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2012;2,3
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2011;7,5
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2010;8,8
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2009;4,4
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2008;7,0
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2007;5,2
Ambos sexos;De 16 a 19;Total (procedencia);Porcentaje;2006;4,1
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2020;0,5
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2019;0,5
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2018;3,2
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2017;2,5
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2016;5,4
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2015;1,9
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2014;0,9
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2013;1,6
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2012;1,6
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2011;3,3
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2010;8,1
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2009;4,5
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2008;5,1
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2007;4,5
Ambos sexos;De 16 a 19;Rural (procedencia);Valor absoluto;2006;3,7
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2020;1,2
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2019;0,9
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2018;4,2
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2017;5,6
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2016;8,5
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2015;2,3
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2014;1,5
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2013;2,9
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2012;2,5
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2011;3,8
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2010;9,6
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2009;6,3
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2008;6,2
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2007;3,2
Ambos sexos;De 16 a 19;Rural (procedencia);Porcentaje;2006;3,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2020;7,0
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2019;14,3
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2018;10,8
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2017;3,6
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2016;9,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2015;16,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2014;14,3
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2013;8,2
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2012;4,4
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2011;11,6
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2010;21,0
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2009;7,0
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2008;18,8
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2007;14,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Valor absoluto;2006;15,3
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2020;3,7
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2019;5,7
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2018;4,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2017;1,5
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2016;3,3
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2015;6,6
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2014;5,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2013;3,6
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2012;1,4
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2011;4,1
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2010;7,0
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2009;2,2
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2008;6,0
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2007;3,3
Ambos sexos;De 16 a 19;Urbano (procedencia);Porcentaje;2006;3,5
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2020;6,5
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2019;14,7
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2018;16,0
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2017;12,0
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2016;8,9
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2015;6,6
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2014;5,6
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2013;6,4
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2012;4,3
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2011;20,5
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2010;12,6
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2009;12,0
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2008;18,7
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2007;21,9
Ambos sexos;De 16 a 19;Extranjero (procedencia);Valor absoluto;2006;14,1
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2020;4,8
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2019;10,9
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2018;10,8
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2017;9,3
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2016;7,5
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2015;6,5
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2014;9,0
Ambos sexos;De 16 a 19;Extranjero (procedencia);Porcentaje;2013;8,8
